Rank,Name,Year,Rating,Num_user_rating
1,The Shawshank Redemption,1994,9.2,2481727
2,The Godfather,1972,9.1,1713955
3,The Godfather: Part II,1974,9.0,1190529
4,The Dark Knight,2008,9.0,2436094
5,12 Angry Men,1957,8.9,734479
6,Schindler's List,1993,8.9,1273910
7,The Lord of the Rings: The Return of the King,2003,8.9,1719517
8,Pulp Fiction,1994,8.8,1920733
9,Il buono| il brutto| il cattivo,1966,8.8,721731
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1740782
11,Fight Club,1999,8.8,1955653
12,Forrest Gump,1994,8.7,1918893
13,Inception,2010,8.7,2186105
14,The Lord of the Rings: The Two Towers,2002,8.7,1554519
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1211774
16,The Matrix,1999,8.6,1773295
17,Goodfellas,1990,8.6,1077218
18,One Flew Over the Cuckoo's Nest,1975,8.6,958634
19,Shichinin no samurai,1954,8.6,330622
20,Se7en,1995,8.6,1527819
21,The Silence of the Lambs,1991,8.6,1340865
22,Cidade de Deus,2002,8.6,725037
23,La vita è bella,1997,8.6,655967
24,It's a Wonderful Life,1946,8.6,424286
25,Star Wars,1977,8.6,1283548
26,Saving Private Ryan,1998,8.6,1300287
27,Interstellar,2014,8.5,1633033
28,Sen to Chihiro no kamikakushi,2001,8.5,699660
29,The Green Mile,1999,8.5,1211219
30,Gisaengchung,2019,8.5,677044
31,Léon,1994,8.5,1088918
32,Seppuku,1962,8.5,49942
33,The Pianist,2002,8.5,776061
34,The Usual Suspects,1995,8.5,1033812
35,Terminator 2: Judgment Day,1991,8.5,1038909
36,Back to the Future,1985,8.5,1120291
37,Psycho,1960,8.5,635181
38,The Lion King,1994,8.5,989459
39,Modern Times,1936,8.5,230016
40,American History X,1998,8.5,1071971
41,Hotaru no haka,1988,8.5,254918
42,City Lights,1931,8.5,176945
43,Whiplash,2014,8.5,770373
44,Gladiator,2000,8.5,1408015
45,The Departed,2006,8.5,1248001
46,The Intouchables,2011,8.5,802067
47,The Prestige,2006,8.5,1252684
48,Casablanca,1942,8.4,545498
49,Once Upon a Time in the West,1968,8.4,315932
50,Rear Window,1954,8.4,468162
51,Nuovo Cinema Paradiso,1988,8.4,246940
52,Alien,1979,8.4,828815
53,Apocalypse Now,1979,8.4,633397
54,Memento,2000,8.4,1175169
55,Raiders of the Lost Ark,1981,8.4,921230
56,The Great Dictator,1940,8.4,214252
57,The Lives of Others,2006,8.4,374445
58,Django Unchained,2012,8.4,1438124
59,Paths of Glory,1957,8.4,188159
60,Sunset Blvd.,1950,8.4,212266
61,WALL·E,2008,8.4,1048304
62,Avengers: Infinity War,2018,8.4,936088
63,Witness for the Prosecution,1957,8.4,117375
64,The Shining,1980,8.4,951464
65,Spider-Man: Into the Spider-Verse,2018,8.4,434299
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,469694
67,Joker,2019,8.3,1087597
68,Mononoke-hime,1997,8.3,367529
69,Oldeuboi,2003,8.3,544821
70,Kimi no na wa.,2016,8.3,228923
71,The Dark Knight Rises,2012,8.3,1587793
72,Coco,2017,8.3,438430
73,Aliens,1986,8.3,682373
74,Once Upon a Time in America,1984,8.3,331801
75,Capharnaüm,2018,8.3,77139
76,Avengers: Endgame,2019,8.3,954801
77,Das Boot,1981,8.3,241693
78,Tengoku to jigoku,1963,8.3,40186
79,American Beauty,1999,8.3,1108798
80,Toy Story,1995,8.3,932174
81,3 Idiots,2009,8.3,370098
82,Hamilton,2020,8.3,75815
83,Amadeus,1984,8.3,384077
84,Braveheart,1995,8.3,992720
85,Inglourious Basterds,2009,8.3,1342809
86,Good Will Hunting,1997,8.3,906452
87,Star Wars: Episode VI - Return of the Jedi,1983,8.3,991451
88,2001: A Space Odyssey,1968,8.3,633482
89,Reservoir Dogs,1992,8.3,963367
90,M - Eine Stadt sucht einen Mörder,1931,8.3,151421
91,Vertigo,1958,8.3,384478
92,Taare Zameen Par,2007,8.3,181838
93,Citizen Kane,1941,8.3,424436
94,Idi i smotri,1985,8.3,69136
95,Jagten,2012,8.3,306089
96,Requiem for a Dream,2000,8.3,799450
97,Singin' in the Rain,1952,8.3,229874
98,North by Northwest,1959,8.3,313758
